User Type, Warehouse, Date, Time	
employee,Delhi,03-10-2020,03:54
employee,Delhi,03-10-2020,03:56
employee,Delhi,03-10-2020,03:57
employee,Delhi,03-10-2020,04:01
employee,Delhi,03-10-2020,04:01
employee,Punjab,03-10-2020,04:08
employee,Delhi,03-10-2020,04:23
employee,Delhi,03-10-2020,04:30
employee,Delhi,03-10-2020,04:31
employee,Delhi,03-10-2020,04:33
employee,Delhi,03-10-2020,04:33
employee,Delhi,03-10-2020,10:58
employee,Delhi,03-10-2020,11:02
employee,Delhi,03-10-2020,11:06
employee,Delhi,03-10-2020,11:08
employee,Delhi,03-10-2020,11:08
employee,Delhi,03-10-2020,11:11
employee,Delhi,03-10-2020,11:12
employee,Delhi,03-10-2020,11:15
employee,Delhi,03-10-2020,11:16
employee,Delhi,03-10-2020,11:18
employee,Delhi,03-10-2020,11:20
employee,Delhi,03-10-2020,11:21
employee,Delhi,03-10-2020,11:25
employee,Delhi,03-10-2020,11:29
employee,Delhi,03-10-2020,11:30
employee,Delhi,03-10-2020,11:32
employee,Delhi,03-10-2020,11:33
employee,Delhi,03-10-2020,11:34
employee,Delhi,03-10-2020,11:35
employee,Delhi,03-10-2020,11:37
employee,Delhi,03-10-2020,11:44
employee,Delhi,03-10-2020,11:45
employee,Delhi,03-10-2020,11:48
employee,Delhi,03-10-2020,11:50
employee,Delhi,03-10-2020,12:16
employee,Delhi,03-10-2020,12:18
employee,Punjab,03-10-2020,12:26
employee,Delhi,03-10-2020,12:49
Employee,Delhi,03-10-2020,13:23
Admin,Delhi,04-10-2020,19:32
Admin,Delhi,04-10-2020,19:33
Admin,Delhi,04-10-2020,19:36
Admin,Delhi,04-10-2020,19:38
Admin,Delhi,04-10-2020,19:39
Employee,Delhi,04-10-2020,19:40
Employee,Delhi,04-10-2020,19:43
EMployee,Delhi,04-10-2020,19:46
Employee,Delhi,04-10-2020,19:49
Employee,Delhi,04-10-2020,19:50
employee,Delhi,04-10-2020,19:52
Employee,Delhi,04-10-2020,19:55
Admin,Delhi,04-10-2020,19:55
Admin,Delhi,04-10-2020,19:57
Admin,Delhi,04-10-2020,19:58
Admin,Delhi,04-10-2020,20:01
Admin,Delhi,04-10-2020,20:01
Admin,Delhi,04-10-2020,20:12
Admin,Delhi,04-10-2020,20:13
Employee,Delhi,04-10-2020,20:38
Employee,Delhi,04-10-2020,20:38
Admin,Delhi,04-10-2020,20:39
Admin,Delhi,04-10-2020,20:40
Admin,Delhi,04-10-2020,20:45
Admin,Delhi,04-10-2020,20:45
Admin,Delhi,04-10-2020,20:46
Admin,Delhi,04-10-2020,20:47
Employee,Delhi,04-10-2020,20:48
Employee,Delhi,04-10-2020,20:49
Employee,Delhi,04-10-2020,20:51
Admin,Delhi,04-10-2020,20:52
Admin,Delhi,04-10-2020,20:57
Admin,Delhi,04-10-2020,21:06
Admin,Delhi,04-10-2020,21:07
Employee,Delhi,04-10-2020,21:10
Employee,Delhi,04-10-2020,21:11
Employee,Delhi,04-10-2020,21:46
Admin,Delhi,04-10-2020,21:48
Admin,Delhi,04-10-2020,22:34
Admin,Delhi,04-10-2020,22:38
Admin,Delhi,04-10-2020,22:52
Admin,Delhi,04-10-2020,22:53
Admin,Delhi,04-10-2020,22:54
Admin,Delhi,04-10-2020,22:55
Admin,Delhi,04-10-2020,22:58
Admin,Delhi,04-10-2020,23:02
Admin,Delhi,04-10-2020,23:06
Admin,Delhi,04-10-2020,23:08
Admin,Delhi,04-10-2020,23:16
Admin,Delhi,04-10-2020,23:55
Admin,Delhi,04-10-2020,23:56
Admin,Delhi,04-10-2020,23:57
Admin,Delhi,04-10-2020,23:59
Admin,Delhi,05-10-2020,00:00
admin,Delhi,05-10-2020,00:01
Admin,Delhi,05-10-2020,00:02
Admin,Delhi,05-10-2020,02:06
Admin,Delhi,05-10-2020,02:11
Admin,Delhi,05-10-2020,02:13
admin,Delhi,05-10-2020,02:14
Admin,Delhi,05-10-2020,02:15
Admin,Delhi,05-10-2020,02:16
Admin,Delhi,05-10-2020,02:18
Employee,Delhi,05-10-2020,02:20
Employee,Delhi,05-10-2020,02:46
Employee,Delhi,05-10-2020,02:51
Admin,Delhi,05-10-2020,02:52
Employee,Delhi,2020-10-05,03:02
Employee,Delhi,2020-10-05,03:03
Employee,Delhi,2020-10-05,03:04
Admin,Delhi,2020-10-05,03:04
Employee,Delhi,2020-10-05,03:06
Admin,Punjab,2020-10-05,03:06
Admin,Delhi,2020-10-05,06:48
Admin,Delhi,2020-10-05,06:50
Employee,Delhi,2020-10-05,08:39
Employee,Delhi,2020-10-05,08:42
Admin,Delhi,2020-10-05,08:42
Employee,Delhi,2020-10-05,08:57
Admin,Delhi,2020-10-05,08:57
Employee,Delhi,2020-10-05,09:14
Admin,Delhi,2020-10-05,09:15
EMployee,Delhi,2020-10-06,12:05
Admin,Delhi,2020-10-07,12:09
Employee,Delhi,2020-10-07,18:36
